Politician,Year,Party,House,Total,Travelling Allowance,Overseas Travel,Domestic Scheduled Fares,Charter,Car Costs,Office Facilities,Office Fit Outs,Office Administrative Costs,Telecommunications,Family Travel Costs
Adam Bandt,2013,Greens,MP,541419,14455,0,32954,0,19884,233266,0,220107,16443,4310
Alan Eggleston,2013,Liberal,Senator,298675,29182,-274,69909,28436,15793,102442,0,39940,13248,0
Alan Griffin,2013,ALP,MP,448517,23185,10602,31048,0,27165,145636,0,190118,20763,0
Alan Tudge,2013,Liberal,MP,512895,14529,0,43151,7945,22982,116294,35430,256381,12561,3622
Alannah Mactiernan,2013,ALP,MP,64889,5735,0,18306,0,1659,28479,998,3818,1358,4536
Alby Schultz,2013,Liberal,MP,177366,7235,0,0,0,11296,90572,685,55980,11598,0
Alex Gallacher,2013,ALP,Senator,770271,29018,12557,36126,0,22605,112352,431732,104612,11752,9517
Alex Hawke,2013,Liberal,MP,405428,16112,0,2164,0,21907,107289,0,241085,16872,0
Alexander Somlyay,2013,LNP,MP,224415,11180,0,10307,0,9335,94804,300,87742,8132,2615
Amanda Rishworth,2013,ALP,MP,437334,23337,892,56222,0,32750,90626,1806,214437,12283,4981
Andrew Broad,2013,National,MP,82695,9020,0,5635,2125,10664,27332,5785,14795,2784,4557
Andrew Giles,2013,ALP,MP,74366,4556,0,3941,0,4054,31110,2090,25527,1008,2080
Andrew Laming,2013,LNP,MP,485453,18955,8280,67327,0,15786,99410,0,252613,16277,6805
Andrew Leigh,2013,ALP,MP,332003,2587,12655,8300,0,2802,100652,0,195145,9782,80
Andrew Nikolic,2013,Liberal,MP,73154,8148,0,6242,0,3502,31906,4388,17470,1457,41
Andrew Robb,2013,Liberal,MP,587623,25955,79509,67039,0,44925,152120,6264,193814,14886,3110
Andrew Southcott,2013,Liberal,MP,386431,15748,-7,33227,0,21187,86294,0,214539,9437,6007
Andrew Wilkie,2013,Independent,MP,359787,19908,0,35048,0,18491,118838,-15415,175811,7107,0
Angus Taylor,2013,Liberal,MP,69379,5553,0,0,0,4640,40464,0,16869,1852,0
Ann Sudmalis,2013,Liberal,MP,45109,4288,0,0,0,4424,24502,0,10452,1443,0
Anna Burke,2013,ALP,MP,561884,13616,74215,19961,0,32442,186654,0,214809,15516,4671
Anne McEwen,2013,ALP,Senator,234781,16500,20467,28660,0,27065,72388,0,56565,11523,1612
Anne Ruston,2013,Liberal,Senator,896577,35172,21232,53938,12180,25364,109459,526519,81821,11887,19006
Anne Urquhart,2013,ALP,Senator,255995,22938,11032,34860,0,19974,63804,971,80881,17141,4394
Anthony Albanese,2013,ALP,MP,887552,29484,74136,50872,0,78404,256176,167019,212789,4061,14611
Anthony Byrne,2013,ALP,MP,614371,14020,0,15224,0,19920,140029,139506,269558,13933,2181
Arthur Sinodinos,2013,Liberal,Senator,387533,22796,0,43169,0,15490,249433,0,45196,11450,0
Barnaby Joyce,2013,National,Senator,401434,40593,0,73026,13904,64990,79302,3990,92524,14823,18283
Barry Haase,2013,Liberal,MP,459532,17170,29967,46607,33509,16641,108302,580,182145,19702,4910
Bernie Ripoll,2013,ALP,MP,644381,28276,94407,62156,0,59993,141511,227,243239,10650,3923
Bert van Manen,2013,LNP,MP,457913,14436,0,20873,0,26590,98978,0,279213,11362,6461
Bill Heffernan,2013,Liberal,Senator,272484,30160,0,22717,2457,35412,114897,0,42623,18840,5378
Bill Shorten,2013,ALP,MP,678632,18834,93793,75670,0,79609,207251,0,182398,8202,12875
Bob Baldwin,2013,Liberal,MP,491848,40819,1161,44529,0,78453,151062,1890,148153,17716,8066
Bob Carr,2013,ALP,Senator,1064605,5239,691520,23126,0,44743,208543,0,73115,13128,5190
Bob Katter,2013,Katter's Australian Party,MP,665199,24049,0,72638,103082,92512,175275,2908,134764,44285,15686
Brendan O'Connor,2013,ALP,MP,726062,36613,83281,79721,2410,74321,180678,6089,219773,9770,33406
Brett Mason,2013,Liberal,Senator,426298,36547,39431,67090,0,25803,196867,3199,44625,11104,1632
Brett Whiteley,2013,Liberal,MP,62923,7046,0,9544,98,4404,20606,1800,17753,1541,132
Bridget McKenzie,2013,National,Senator,551955,36474,-179,54870,14579,42743,164088,121590,89623,14056,14112
Bronwyn Bishop,2013,Liberal,MP,598344,31384,26955,54214,0,49009,181121,0,242360,13301,0
Bruce Billson,2013,Liberal,MP,440008,22188,0,54215,0,43920,98781,3663,192950,14179,10112
Bruce Scott,2013,LNP,MP,641452,32308,20403,44226,78025,63874,144074,2249,200495,19858,35940
Carol Brown,2013,ALP,Senator,308859,13768,0,22803,4182,17330,100710,29719,106620,13727,0
Catherine King,2013,ALP,MP,483362,20571,0,51772,2750,52842,172991,975,167444,11257,2760
Cathy McGowan,2013,Independent,MP,52148,4909,0,596,0,3782,25379,5948,9289,2245,0
