House,Politician,Name,Seat,Name,Party,Total,Travel Allowance,Overseas Travel,Domestic Travel,Charter Travel,Car Costs ,Office Facilities ,Office Fit Outs,Office Admin costs,Office Telecommunications,Family Travel,Airline Loyalty points usage,Electorate Area SqKm,State
MP,Andrew	Leigh ,Andrew	Leigh MP,(Fraser),Andrew	Leigh MP(Fraser),ALP,799585.39,12359.00,12594.06,28804.92,0.00,6867.91,298093.67,6743.53,411358.28,21086.70,1677.32,0.00,513,ACT
MP,Annette	Ellis ,Annette	Ellis MP,(Canberra),Annette	Ellis MP(Canberra),ALP,24830.56,1184.00,0.00,-1282.62,0.00,1747.30,1516.30,0.00,21665.58,0.00,0.00,0.00,1921,ACT
MP ,Bob	McMullan ,Bob	McMullan MP ,(Fraser),Bob	McMullan MP (Fraser),ALP,66019.54,1231.00,33353.39,2245.79,0.00,5370.78,294.76,0.00,23523.82,0.00,0.00,0.00,513,ACT
MP,Gai	Brodtmann ,Gai	Brodtmann MP,(Canberra),Gai	Brodtmann MP(Canberra),ALP,850114.16,10691.00,13669.71,15239.69,0.00,30050.71,393078.13,5476.36,351970.08,29938.48,0.00,0.00,1921,ACT
Senator,Gary	Humphries ,Gary	Humphries Senator,(ACT),Gary	Humphries Senator(ACT),Liberal,1052521.23,27792.00,38238.88,81691.62,0.00,77946.79,557116.80,22097.12,207185.65,30494.86,9957.51,0.00,,ACT
Senator,Kate	Lundy ,Kate	Lundy Senator,(ACT),Kate	Lundy Senator(ACT),ALP,1155385.09,64224.00,193482.13,230071.90,0.00,139298.36,286483.44,501.00,227306.77,12406.01,1611.48,0.00,,ACT
MP,Alby	Schultz ,Alby	Schultz MP,(Hume),Alby	Schultz MP(Hume),Liberal,1361352.34,41664.00,23604.02,8374.66,0.00,85090.47,394527.80,253448.94,512198.33,42231.88,212.24,0.00,33637,NSW
MP,Alex	Hawke ,Alex	Hawke MP,(Mitchell),Alex	Hawke MP(Mitchell),Liberal,934446.18,59273.00,0.00,17851.80,0.00,65938.13,329032.25,662.25,405725.91,55558.39,404.45,0.00,101,NSW
MP,Anthony	Albanese ,Anthony	Albanese MP,(Grayndler),Anthony	Albanese MP(Grayndler),ALP,2255575.99,92317.00,411287.94,154019.38,6416.36,182098.36,667628.33,188449.20,502840.48,10814.63,39704.31,0.00,32,NSW
Senator,Arthur	Sinodinos ,Arthur	Sinodinos Senator,(NSW),Arthur	Sinodinos Senator(NSW),Liberal,534529.76,37205.00,0.00,48031.24,0.00,13713.27,321102.90,11449.75,81112.47,21751.06,164.07,0.00,,NSW
MP,Belinda	Neal ,Belinda	Neal MP,(Robertson),Belinda	Neal MP(Robertson),ALP,50164.11,1150.00,0.00,2972.52,0.00,3174.18,1799.19,0.00,38152.09,0.00,2916.13,0.00,978,NSW
Senator,Bill	Heffernan ,Bill	Heffernan Senator,(NSW),Bill	Heffernan Senator(NSW),Liberal,871766.75,101858.00,0.00,78653.49,0.00,105246.86,360458.69,0.00,161604.17,45286.88,18658.66,0.00,,NSW
MP,Bob	Baldwin ,Bob	Baldwin MP,(Paterson),Bob	Baldwin MP(Paterson),Liberal,1295709.09,97749.00,27352.40,112734.94,0.00,169760.93,365202.12,488.00,456897.44,41109.42,24414.84,0.00,6652,NSW
Senator,Bob	Carr ,Bob	Carr Senator,(NSW),Bob	Carr Senator(NSW),ALP,1895049.83,14880.00,1335517.30,32242.50,0.00,64881.93,350454.89,33087.32,21506.76,23822.25,18656.88,0.00,,NSW
MP,Bob	Debus ,Bob	Debus MP,(Macquarie),Bob	Debus MP(Macquarie),ALP,144134.22,920.00,19558.27,-106.86,0.00,1367.12,632.41,0.00,120918.56,0.00,844.72,0.00,4374,NSW
MP,Bronwyn	Bishop ,Bronwyn	Bishop MP,(Mackellar),Bronwyn	Bishop MP(Mackellar),Liberal,1770035.46,97517.00,7391.39,144621.07,0.00,164788.34,537467.81,323627.86,461173.77,33448.22,0.00,0.00,233,NSW
MP,Chris	Bowen ,Chris	Bowen MP,(McMahon),Chris	Bowen MP(McMahon),ALP,2165710.60,51848.00,300994.17,76143.20,0.00,190187.18,753585.27,297858.90,456925.06,24986.03,13182.79,0.00,161,NSW
MP,Chris	Hayes ,Chris	Hayes MP,(Fowler),Chris	Hayes MP(Fowler),ALP,1461022.11,69868.00,66651.26,22892.59,0.00,74192.42,407724.86,338984.20,425955.52,36491.52,18261.74,0.00,69,NSW
Senator,Concetta	Fierravanti-Wells ,Concetta	Fierravanti-Wells Senator,(NSW),Concetta	Fierravanti-Wells Senator(NSW),Liberal,973413.99,61665.00,0.00,145674.78,335.09,125517.11,318318.72,1053.64,247778.36,54366.72,18704.57,0.00,,NSW
MP,Craig	Kelly ,Craig	Kelly MP,(Hughes),Craig	Kelly MP(Hughes),Liberal,849867.83,42495.00,0.00,4542.55,0.00,19323.96,301791.77,4399.09,448241.75,29073.71,0.00,0.00,178,NSW
MP,Craig	Thomson ,Craig	Thomson MP,(Dobell),Craig	Thomson MP(Dobell),ALP,929848.45,47638.00,24180.93,33914.64,0.00,73137.70,347852.37,20167.27,339292.83,33215.49,10449.22,0.00,775,NSW
MP,Danna	Vale ,Danna	Vale MP,(Hughes),Danna	Vale MP(Hughes),Liberal,43415.73,4468.00,14861.04,-318.05,0.00,1574.74,2039.66,0.00,20790.34,0.00,0.00,0.00,178,NSW
MP,Daryl	Melham ,Daryl	Melham MP,(Banks),Daryl	Melham MP(Banks),ALP,883886.63,52929.00,0.00,61033.56,0.00,47589.25,243845.05,0.00,446452.37,30853.00,1184.40,0.00,49,NSW
MP,David	Bradbury ,David	Bradbury MP,(Lindsay),David	Bradbury MP(Lindsay),ALP,1330930.73,73577.00,53279.98,74573.38,0.00,110381.95,498848.18,32975.42,458347.61,27387.29,1559.92,0.00,339,NSW
MP,Deb	O'Neill ,Deb	O'Neill MP,(Robertson),Deb	O'Neill MP(Robertson),ALP,1080353.84,51779.00,33728.23,54129.05,0.00,110604.47,328169.75,61726.23,393311.12,30150.44,16755.55,0.00,978,NSW
Senator,Doug	Cameron ,Doug	Cameron Senator,(NSW),Doug	Cameron Senator(NSW),ALP,822357.31,100759.00,20535.62,53289.85,0.00,71878.49,396923.54,0.00,135855.03,32612.96,10502.82,0.00,,NSW
MP,Ed	Husic ,Ed	Husic MP,(Chifley),Ed	Husic MP(Chifley),ALP,892772.50,18823.00,14713.95,13061.49,0.00,53532.78,367827.00,8390.00,389367.14,26831.71,225.43,0.00,135,NSW
Senator,Fiona	Nash ,Fiona	Nash Senator,(NSW),Fiona	Nash Senator(NSW),National,833124.49,91490.00,0.00,98321.23,29871.41,95157.75,244294.83,360.00,192625.58,53824.96,27178.73,0.00,,NSW
MP,Greg	Combet ,Greg	Combet MP,(Charlton),Greg	Combet MP(Charlton),ALP,1805089.12,146175.00,386573.60,111260.47,0.00,113529.00,594903.09,1638.34,423544.91,22743.17,4721.54,0.00,688,NSW
Senator,Helen	Coonan ,Helen	Coonan Senator,(NSW),Helen	Coonan Senator(NSW),Liberal,832774.03,11806.00,24960.68,13031.90,0.00,11824.86,261802.28,425541.55,74428.84,8349.34,1028.58,0.00,,NSW
MP,Janelle	Saffin ,Janelle	Saffin MP,(Page),Janelle	Saffin MP(Page),ALP,1024883.36,69425.00,63171.90,86675.36,0.00,84135.56,297664.87,0.00,365629.27,44933.03,13248.37,0.00,16143,NSW
MP,Jason	Clare ,Jason	Clare MP,(Blaxland),Jason	Clare MP(Blaxland),ALP,1656674.57,68445.00,228850.38,176678.32,0.00,127194.28,532526.02,20030.15,466376.20,24498.13,12076.09,0.00,62,NSW
MP,Jennie	George ,Jennie	George MP,(Throsby),Jennie	George MP(Throsby),ALP,27948.35,1610.00,0.00,0.00,0.00,947.47,-198.88,0.00,25589.76,0.00,0.00,0.00,1422,NSW
MP,Jill	Hall ,Jill	Hall MP,(Shortland),Jill	Hall MP(Shortland),ALP,969890.04,71813.00,46361.14,64269.64,0.00,77669.77,203603.18,1577.40,453677.77,35744.75,15173.39,0.00,205,NSW
MP,Joanna	Gash ,Joanna	Gash MP,(Gilmore),Joanna	Gash MP(Gilmore),Liberal,972651.45,54177.00,5206.39,3559.63,0.00,68251.58,312203.56,786.59,498140.15,30326.55,0.00,0.00,4878,NSW
MP,Joe	Hockey ,Joe	Hockey MP,(North Sydney),Joe	Hockey MP(North Sydney),Liberal,1536412.24,79447.00,34752.33,108501.72,0.00,152432.65,690517.10,4228.64,412784.67,36798.45,16949.68,0.00,48,NSW
MP,Joel	Fitzgibbon ,Joel	Fitzgibbon MP,(Hunter),Joel	Fitzgibbon MP(Hunter),ALP,1033576.70,89464.00,96173.01,63419.96,0.00,110302.06,346790.69,0.00,285248.91,38629.26,3548.81,0.00,20111,NSW
MP,John	Alexander ,John	Alexander MP,(Bennelong),John	Alexander MP(Bennelong),Liberal,1049255.46,36872.00,0.00,8857.96,0.00,24087.11,548855.55,780.14,398431.06,27956.37,3415.27,0.00,58,NSW
MP,John	Cobb ,John	Cobb MP,(Calare),John	Cobb MP(Calare),National,1642175.00,81703.34,8646.98,88541.59,54320.80,172040.37,466364.71,259643.16,459328.07,35572.48,16013.50,0.00,30526,NSW
Senator,John	Faulkner ,John	Faulkner Senator,(NSW),John	Faulkner Senator(NSW),ALP,753335.51,77586.00,-6348.67,17878.46,0.00,75212.26,373547.10,129186.79,46289.97,38356.82,1626.78,0.00,,NSW
MP,John	Murphy ,John	Murphy MP,(Reid),John	Murphy MP(Reid),ALP,1723054.31,60001.00,110713.69,18516.31,0.00,58076.74,643827.00,321064.48,459203.68,29405.10,22246.31,0.00,66,NSW
Senator,John	Williams ,John	Williams Senator,(NSW),John	Williams Senator(NSW),Nationals,967001.04,111283.00,19749.57,132282.81,37637.62,158850.41,250868.80,2332.11,177827.84,43847.48,32321.40,0.00,,NSW
MP,Julia	Irwin ,Julia	Irwin MP,(Fowler),Julia	Irwin MP(Fowler),ALP,19068.76,0.00,11809.36,0.00,0.00,1898.53,4026.25,0.00,1334.62,0.00,0.00,0.00,69,NSW
MP,Julie	Owens ,Julie	Owens MP,(Parramatta),Julie	Owens MP(Parramatta),ALP,1137022.09,48769.00,5782.47,4666.57,0.00,20094.91,493788.80,14885.45,521820.53,27214.36,0.00,0.00,56,NSW
MP,Justine	Elliot ,Justine	Elliot MP,(Richmond),Justine	Elliot MP(Richmond),ALP,1344667.81,64743.00,94404.39,68453.73,0.00,125952.67,465379.72,3448.47,470833.51,25463.10,25989.22,0.00,2768,NSW
MP,Kay	Hull ,Kay	Hull MP,(Riverina),Kay	Hull MP(Riverina),National,49956.64,4800.00,17613.38,1052.74,1170.91,1595.95,3211.82,0.00,20511.84,0.00,0.00,0.00,61435,NSW
MP,Laurie	Ferguson ,Laurie	Ferguson MP,(Werriwa),Laurie	Ferguson MP(Werriwa),ALP,1121658.01,47777.00,94932.66,46830.10,0.00,86864.99,304850.88,23836.28,470115.08,34411.00,12040.02,0.00,159,NSW
Senator,Lee	Rhiannon ,Lee	Rhiannon Senator,(NSW),Lee	Rhiannon Senator(NSW),Greens,1009832.08,37633.00,0.00,31134.02,3700.00,13850.33,342707.66,416747.09,135342.54,24862.56,3854.88,0.00,,NSW
MP,Louise	Markus ,Louise	Markus MP,(Macquarie),Louise	Markus MP(Macquarie),Liberal,1172264.38,47223.00,0.00,38391.12,0.00,81644.43,435333.95,3073.00,524599.07,40658.54,1341.27,0.00,4374,NSW
MP,Luke	Hartsuyker ,Luke	Hartsuyker MP,(Cowper),Luke	Hartsuyker MP(Cowper),National,1124095.81,81569.00,42856.32,121710.29,0.00,86434.92,304729.10,956.36,447081.92,30821.96,7935.94,0.00,7861,NSW
MP,Malcolm	Turnbull ,Malcolm	Turnbull MP,(Wentworth),Malcolm	Turnbull MP(Wentworth),Liberal,1385674.36,51238.00,37441.02,64200.25,0.00,61633.10,802704.95,447.27,304398.44,50543.48,13067.85,0.00,30,NSW
Senator,Marise	Payne ,Marise	Payne Senator,(NSW),Marise	Payne Senator(NSW),Liberal,697009.66,32278.00,0.00,23106.29,11228.18,72270.41,325635.57,0.00,192053.51,30275.49,10162.21,0.00,,NSW
Senator,Mark	Arbib ,Mark	Arbib Senator,(NSW),Mark	Arbib Senator(NSW),ALP,709025.43,35294.00,171546.03,84622.79,254.34,107837.62,225172.44,0.00,75947.06,5571.45,2779.70,0.00,,NSW
MP,Mark	Coulton ,Mark	Coulton MP,(Parkes),Mark	Coulton MP(Parkes),National,1403089.01,88228.00,28832.58,62320.53,143887.78,148639.83,382866.78,0.00,488790.63,36083.05,23439.83,0.00,256643,NSW
Senator,Matthew	Thistlethwaite ,Matthew	Thistlethwaite Senator,(NSW),Matthew	Thistlethwaite Senator(NSW),ALP,870009.63,47360.00,19666.94,72240.49,9103.72,51067.44,205491.73,369369.96,72440.52,21639.63,1629.20,0.00,,NSW
MP,Maxine	McKew ,Maxine	McKew MP,(Bennelong),Maxine	McKew MP(Bennelong),ALP,184898.74,3286.00,0.00,3659.19,0.00,4574.00,36805.60,9675.06,126898.89,0.00,0.00,0.00,58,NSW
Senator,Michael	Forshaw ,Michael	Forshaw Senator,(NSW),Michael	Forshaw Senator(NSW),ALP,289747.99,27530.00,28538.00,31393.33,4928.46,37149.38,73733.26,381.36,66849.70,6199.89,13044.61,0.00,,NSW
MP,Michael	McCormack ,Michael	McCormack MP,(Riverina),Michael	McCormack MP(Riverina),National,932677.95,68699.00,33870.79,40839.60,11561.83,65942.83,328482.88,3740.00,339055.09,35912.40,4573.53,0.00,61435,NSW
MP,Michelle	Rowland ,Michelle	Rowland MP,(Greenway),Michelle	Rowland MP(Greenway),ALP,1490930.43,42521.00,15853.26,39493.13,0.00,60712.96,405455.37,418916.23,460430.14,27464.46,20083.88,0.00,84,NSW
MP,Mike	Kelly ,Mike	Kelly MP,(Eden-Monaro),Mike	Kelly MP(Eden-Monaro),ALP,2233780.10,46684.00,157285.91,46558.46,59880.46,104055.71,515985.67,790573.78,479103.49,23135.72,10516.90,0.00,29499,NSW
MP,Pat	Farmer ,Pat	Farmer MP,(Macarthur),Pat	Farmer MP(Macarthur),Liberal,166670.28,0.00,0.00,318.04,0.00,1910.90,3630.07,0.00,158722.55,0.00,2088.72,0.00,798,NSW
MP,Paul	Fletcher ,Paul	Fletcher MP,(Bradfield),Paul	Fletcher MP(Bradfield),Liberal,1166467.86,41524.00,3131.47,68037.11,0.00,36572.69,474967.03,52383.48,460761.62,22845.48,6244.98,0.00,99,NSW
MP,Peter	Garrett ,Peter	Garrett MP,(Kingsford Smith),Peter	Garrett MP(Kingsford Smith),ALP,1689543.31,90209.00,79817.34,175555.94,61674.64,188934.39,611917.88,480.00,452054.27,17972.14,10927.71,0.00,127,NSW
MP,Philip	Ruddock ,Philip	Ruddock MP,(Berowra),Philip	Ruddock MP(Berowra),Liberal,1029909.97,68993.00,36312.47,89690.12,0.00,165480.44,315544.95,4060.31,292839.66,33882.03,23106.99,0.00,782,NSW
MP,Robert	McClelland ,Robert	McClelland MP,(Barton),Robert	McClelland MP(Barton),ALP,1912506.55,76448.00,97365.50,98583.98,3427.77,179526.17,602850.92,366986.36,423614.12,27433.07,36270.66,0.00,44,NSW
MP,Robert	Oakeshott ,Robert	Oakeshott MP,(Lyne),Robert	Oakeshott MP(Lyne),Independent,1088301.48,50898.00,17528.46,85481.95,0.00,65046.26,412218.04,21256.20,382050.25,31665.34,22156.98,0.00,11991,NSW
MP,Roger	Price ,Roger	Price MP,(Chifley),Roger	Price MP(Chifley),ALP,108296.57,948.00,-10772.82,705.14,0.00,4597.86,11463.34,0.00,99947.13,0.00,1407.92,0.00,135,NSW
MP,Russell	Matheson ,Russell	Matheson MP,(Macarthur),Russell	Matheson MP(Macarthur),Liberal ,798792.28,46550.00,11425.48,4662.25,0.00,41451.93,277404.53,2310.00,392767.13,21155.21,1065.75,0.00,798,NSW
MP,Scott	Morrison ,Scott	Morrison MP,(Cook),Scott	Morrison MP(Cook),Liberal,1307725.10,73010.00,51406.38,128420.05,0.00,145588.74,498296.84,3457.45,366849.69,34996.04,5699.91,0.00,100,NSW
MP,Sharon	Bird ,Sharon	Bird MP,(Cunningham),Sharon	Bird MP(Cunningham),ALP,1122486.45,76512.00,0.00,49504.16,0.00,60855.40,497330.21,8954.50,406263.37,23066.81,0.00,0.00,721,NSW
MP,Sharon	Grierson ,Sharon	Grierson MP,(Newcastle),Sharon	Grierson MP(Newcastle),ALP,1096779.80,70961.00,73606.56,28966.08,0.00,61345.00,333061.38,230.00,483612.54,40014.27,4982.97,0.00,354,NSW
MP,Stephen	Jones ,Stephen	Jones MP,(Throsby),Stephen	Jones MP(Throsby),ALP,1055343.58,48988.00,0.00,9501.56,0.00,52795.92,316379.41,100165.00,500862.31,25146.36,1505.02,0.00,1422,NSW
Senator,Steve	Hutchins ,Steve	Hutchins Senator,(NSW),Steve	Hutchins Senator(NSW),ALP,272037.59,21054.00,-368.44,27861.35,5808.00,33694.01,111068.89,708.20,55030.73,10212.74,6968.11,0.00,,NSW
MP,Sussan	Ley ,Sussan	Ley MP,(Farrer),Sussan	Ley MP(Farrer),Liberal,1527489.92,133015.43,17374.94,168126.61,81027.85,157135.36,462536.74,1879.87,444918.51,43928.68,17545.93,0.00,247097,NSW
MP,Tanya	Plibersek ,Tanya	Plibersek MP,(Sydney),Tanya	Plibersek MP(Sydney),ALP,1813085.43,44929.00,82217.35,137599.01,2572.73,192156.41,976592.91,-104892.12,450642.54,8519.54,22748.06,0.00,91,NSW
MP,Tony	Abbott ,Tony	Abbott MP,(Warringah),Tony	Abbott MP(Warringah),Liberal,3205960.65,186123.00,172708.65,218495.71,216993.27,485559.01,1000014.29,22918.82,722589.86,124008.25,56549.79,0.00,73,NSW
MP,Tony	Burke ,Tony	Burke MP,(Watson),Tony	Burke MP(Watson),ALP,2724813.00,153545.33,233672.36,153302.34,256170.87,288490.99,858154.04,359812.38,377161.89,19843.74,24659.06,0.00,42,NSW
MP,Tony	Windsor ,Tony	Windsor MP,(New England),Tony	Windsor MP(New England),Independent,1314785.81,69093.00,47947.25,118285.74,10488.50,113284.29,434824.59,26541.38,418860.36,54235.91,21224.79,0.00,59344,NSW
Senator,Ursula	Stephens ,Ursula	Stephens Senator,(NSW),Ursula	Stephens Senator(NSW),ALP,1245229.30,82779.00,212422.62,32622.73,14245.76,105640.81,346097.73,217786.42,189630.51,40011.08,3992.64,0.00,,NSW
MP,Damian	Hale ,Damian	Hale MP,(Solomon),Damian	Hale MP(Solomon),ALP,157530.58,1150.00,0.00,1499.02,0.00,6702.71,16014.55,0.00,136975.24,0.00,-4810.94,0.00,337,NT
MP,Natasha	Griggs ,Natasha	Griggs MP,(Solomon),Natasha	Griggs MP(Solomon),CLP,1150933.94,62423.00,0.00,156765.93,3409.09,60273.36,374800.71,48101.72,363094.77,26697.13,55368.23,0.00,337,NT
Senator,Nigel	Scullion ,Nigel	Scullion Senator,(NT),Nigel	Scullion Senator(NT),CLP,1377906.29,141605.00,20646.68,261308.68,82898.61,307855.55,273599.63,629.22,219133.41,37802.01,32427.50,0.00,,NT
Senator,Trish	Crossin ,Trish	Crossin Senator,(NT),Trish	Crossin Senator(NT),ALP,1141417.49,87341.00,24782.60,213851.33,75369.17,145891.13,336458.71,4602.97,175011.32,39984.01,38125.25,0.00,,NT
MP,Warren	Snowdon ,Warren	Snowdon MP,(Lingiari),Warren	Snowdon MP(Lingiari),ALP,2752900.60,215815.00,427669.15,303951.80,292748.67,332199.96,772218.36,8371.19,324725.95,41508.25,33692.27,0.00,1352371,NT
MP,Alexander	Somlyay ,Alexander	Somlyay MP,(Fairfax),Alexander	Somlyay MP(Fairfax),LNP,1075450.27,64538.00,0.00,67103.66,0.00,47512.90,425057.96,0.00,438284.39,22834.96,10118.40,0.00,1036,QLD
MP,Andrew	Laming ,Andrew	Laming MP,(Bowman),Andrew	Laming MP(Bowman),LNP,1190319.89,69295.00,6043.90,170056.82,0.00,56201.31,310885.51,446.36,503459.69,33487.52,40443.78,0.00,537,QLD
MP,Arch	Bevis ,Arch	Bevis MP,(Brisbane),Arch	Bevis MP(Brisbane),ALP,164832.42,2670.00,423.26,500.50,0.00,5876.13,18444.09,0.00,136918.44,0.00,0.00,0.00,58,QLD
Senator,Barnaby	Joyce ,Barnaby	Joyce Senator,(QLD),Barnaby	Joyce Senator(QLD),National,1799103.98,147389.00,63695.32,198881.15,121458.28,219992.68,250897.60,436854.63,275368.55,40495.85,44070.92,0.00,,QLD
MP,Bernie	Ripoll ,Bernie	Ripoll MP,(Oxley),Bernie	Ripoll MP(Oxley),ALP,1594905.32,76528.21,170688.57,170670.73,0.00,144956.60,446398.69,34071.58,493276.90,35798.08,22515.96,0.00,155,QLD
MP,Bert	Van Manen ,Bert	Van Manen MP,(Forde),Bert	Van Manen MP(Forde),LNP,930695.44,50998.00,0.00,62205.79,0.00,77995.20,281664.52,22287.53,392920.58,23656.84,18966.98,0.00,419,QLD
MP,Bob	Katter ,Bob	Katter MP,(Kennedy),Bob	Katter MP(Kennedy),Katter's Australian Party,1801087.52,80416.97,0.00,215618.51,189801.78,308760.49,509465.91,78849.11,274685.30,72005.33,71484.12,0.00,568993,QLD
Senator,Brett	Mason ,Brett	Mason Senator,(QLD),Brett	Mason Senator(QLD),Liberal,1305132.84,115833.00,25308.35,146177.62,870.78,74428.76,420228.76,262769.68,224301.23,27397.63,7817.03,0.00,,QLD
MP,Brett	Raguse ,Brett	Raguse MP,(Forde),Brett	Raguse MP(Forde),ALP,134635.68,2070.00,0.00,1362.76,0.00,10623.80,12172.81,1166.22,105761.57,0.00,1478.52,0.00,419,QLD
MP	,Bruce	Scott ,Bruce	Scott MP	,(Maranoa),Bruce	Scott MP	(Maranoa),LNP,1767127.08,97172.00,60833.81,126579.66,226706.91,185828.29,452887.94,2446.82,471919.63,43968.44,98783.58,0.00,731297,QLD
MP,Chris	Trevor ,Chris	Trevor MP,(Flynn),Chris	Trevor MP(Flynn),ALP,200220.44,4474.00,0.00,-908.85,659.59,16985.63,20543.35,33.64,158433.08,0.00,0.00,0.00,133063,QLD
Senator,Claire	Moore ,Claire	Moore Senator,(QLD),Claire	Moore Senator(QLD),ALP,1060251.10,101683.00,77312.55,177091.19,27972.70,102157.33,309028.93,2676.36,223149.96,37871.54,1307.54,0.00,,QLD
MP,Craig	Emerson ,Craig	Emerson MP,(Rankin),Craig	Emerson MP(Rankin),ALP,2780930.22,112818.00,1151682.36,164524.03,0.00,176297.44,643824.98,4980.28,505981.70,17781.81,3039.62,0.00,131,QLD
MP,Ewen	Jones ,Ewen	Jones MP,(Herbert),Ewen	Jones MP(Herbert),LNP,1039153.04,53197.00,1103.56,102870.65,1900.00,48136.99,285253.53,14493.02,483261.36,22878.32,26058.61,0.00,946,QLD
Senator,George	Brandis ,George	Brandis Senator,(QLD),George	Brandis Senator(QLD),Liberal,1102137.23,101474.00,27710.72,224244.25,2608.41,130755.25,446631.16,2835.00,136969.13,18603.77,10305.54,0.00,,QLD
MP,George	Christensen ,George	Christensen MP,(Dawson),George	Christensen MP(Dawson),LNP,1098549.33,63784.00,0.00,117519.55,21879.91,75376.87,309068.30,12303.68,464270.34,26959.32,7387.36,0.00,14945,QLD
MP,Graham	Perrett ,Graham	Perrett MP,(Moreton),Graham	Perrett MP(Moreton),ALP,1385805.27,49014.00,57474.21,95254.09,0.00,69096.23,513900.40,3120.00,533364.48,29764.23,34817.63,0.00,111,QLD
Senator,Ian	Macdonald ,Ian	Macdonald Senator,(QLD),Ian	Macdonald Senator(QLD),Liberal,1488037.00,145906.00,85601.35,195023.76,47318.38,140110.80,315975.69,234326.79,220407.28,29608.77,73758.18,0.00,,QLD
MP,Ian	Macfarlane ,Ian	Macfarlane MP,(Groom),Ian	Macfarlane MP(Groom),LNP,1254801.56,105656.00,23339.14,184525.36,1655.91,118464.51,317641.85,3740.44,455918.53,28921.51,14938.31,0.00,5594,QLD
MP,James	Bidgood ,James	Bidgood MP,(Dawson),James	Bidgood MP(Dawson),ALP,102721.42,0.00,0.00,755.23,0.00,-1618.74,13202.79,475.00,89907.14,0.00,0.00,0.00,14945,QLD
Senator,Jan	McLucas ,Jan	McLucas Senator,(QLD),Jan	McLucas Senator(QLD),ALP,1314859.45,129524.00,167327.34,285974.94,44731.62,146032.32,314788.21,432.00,189598.02,19898.32,16552.68,0.00,,QLD
MP,Jane	Prentice ,Jane	Prentice MP,(Ryan),Jane	Prentice MP(Ryan),LNP,1073807.00,62015.00,10165.09,87607.88,1655.91,67144.36,377454.97,10301.97,414361.01,23863.92,19236.89,0.00,441,QLD
MP,Jim	Turnour ,Jim	Turnour MP,(Leichhardt),Jim	Turnour MP(Leichhardt),ALP,219592.70,2942.00,0.00,2868.39,15996.87,5472.68,19776.34,461.22,170088.52,0.00,1986.68,0.00,148988,QLD
Senator,Joe	Ludwig ,Joe	Ludwig Senator,(QLD),Joe	Ludwig Senator(QLD),ALP,1742048.91,112767.00,101650.74,158169.00,72614.69,105573.92,965094.42,300.91,176771.35,27907.73,21199.15,0.00,,QLD
Senator,John	Hogg ,John	Hogg Senator,(QLD),John	Hogg Senator(QLD),ALP,1889268.47,74605.00,726125.89,135686.42,96841.19,115546.66,446666.94,0.00,220136.07,38902.52,34757.78,0.00,,QLD
MP,Jon	Sullivan ,Jon	Sullivan MP,(Longman),Jon	Sullivan MP(Longman),ALP,166615.44,2070.00,0.00,0.00,0.00,-579.23,15030.20,860.00,149234.47,0.00,0.00,0.00,1239,QLD
MP,Karen	Andrews ,Karen	Andrews MP,(McPherson),Karen	Andrews MP(McPherson),LNP,1051707.29,53969.00,0.00,80489.61,0.00,29326.15,321452.23,75515.83,442768.56,26536.73,21649.18,0.00,230,QLD
MP,Ken	O'Dowd ,Ken	O'Dowd MP,(Flynn),Ken	O'Dowd MP(Flynn),LNP,1233703.80,76883.00,0.00,108289.88,37026.09,80837.45,472348.13,7108.69,393208.65,33602.21,24399.70,0.00,133063,QLD
MP,Kerry	Rea ,Kerry	Rea MP,(Bonner),Kerry	Rea MP(Bonner),ALP,148094.60,920.00,0.00,569.40,0.00,3680.83,13536.27,635.00,126475.50,0.00,2277.60,0.00,360,QLD
MP,Kevin	Rudd ,Kevin	Rudd MP,(Griffith),Kevin	Rudd MP(Griffith),ALP,3648174.54,67939.00,1727970.09,162462.49,4140.91,251880.80,770971.49,6511.22,582228.65,62327.54,11742.35,0.00,60,QLD
MP,Kirsten	Livermore ,Kirsten	Livermore MP,(Capricornia),Kirsten	Livermore MP(Capricornia),ALP,1251704.51,60558.00,90261.22,139928.51,38490.85,67179.14,276161.06,4240.77,514181.38,34681.95,26021.63,0.00,91049,QLD
Senator,Larissa	Waters ,Larissa	Waters Senator,(QLD),Larissa	Waters Senator(QLD),Greens,1022598.55,56993.00,0.00,76398.84,12611.36,18433.65,232469.73,479124.94,96672.84,21627.76,28266.43,0.00,,QLD
